timestamp,Infrared to Red Signal Ratio
12/13/23 00:00:30,-4
12/13/23 00:01:30,1
12/13/23 00:02:30,9
12/13/23 00:03:30,0
12/13/23 00:04:30,0
12/13/23 00:05:30,0
12/13/23 00:06:30,0
12/13/23 00:07:30,0
12/13/23 00:08:30,0
12/13/23 00:09:30,0
12/13/23 00:10:30,-4
12/13/23 00:11:30,4
12/13/23 00:12:30,37
12/13/23 00:13:30,20
12/13/23 00:14:30,2
12/13/23 00:15:30,0
12/13/23 00:16:30,0
12/13/23 00:17:30,1
12/13/23 00:18:30,0
12/13/23 00:19:30,0
12/13/23 00:20:30,40
12/13/23 00:21:30,-86
12/13/23 00:22:30,-31
12/13/23 00:23:30,-15
12/13/23 00:24:30,0
12/13/23 00:25:30,-11
12/13/23 00:26:30,0
12/13/23 00:27:30,-40
12/13/23 00:28:30,0
12/13/23 00:29:30,21
12/13/23 00:30:30,6
12/13/23 00:31:30,-43
12/13/23 00:32:30,-2
12/13/23 00:33:30,-67
12/13/23 00:34:30,-27
12/13/23 00:35:30,13
12/13/23 00:36:30,-14
12/13/23 00:37:30,0
12/13/23 00:38:30,-10
12/13/23 00:39:30,0
12/13/23 00:40:30,5
12/13/23 00:41:30,-34
12/13/23 00:42:30,-27
12/13/23 00:43:30,-24
12/13/23 00:44:30,-18
12/13/23 00:45:30,-54
12/13/23 00:46:30,8
12/13/23 00:47:30,4
12/13/23 00:48:30,3
12/13/23 00:49:30,15
12/13/23 00:50:30,8
12/13/23 00:51:30,-17
12/13/23 00:52:30,33
12/13/23 00:53:30,22
12/13/23 00:54:30,13
12/13/23 00:55:30,-13
12/13/23 00:56:30,16
12/13/23 00:57:30,48
12/13/23 00:58:30,4
12/13/23 00:59:30,-63
12/13/23 01:00:30,-10
12/13/23 01:01:30,0
12/13/23 01:02:30,4
12/13/23 01:03:30,43
12/13/23 01:04:30,5
12/13/23 01:05:30,-3
12/13/23 01:06:30,0
12/13/23 01:07:30,-3
12/13/23 01:08:30,0
12/13/23 01:09:30,0
12/13/23 01:10:30,1
12/13/23 01:11:30,7
12/13/23 01:12:30,-7
12/13/23 01:13:30,1
12/13/23 01:14:30,1
12/13/23 01:15:30,22
12/13/23 01:16:30,-18
12/13/23 01:17:30,-6
12/13/23 01:18:30,-4
12/13/23 01:19:30,0
12/13/23 01:20:30,3
12/13/23 01:21:30,4
12/13/23 01:22:30,8
12/13/23 01:23:30,1
12/13/23 01:24:30,0
12/13/23 01:25:30,2
12/13/23 01:26:30,-21
12/13/23 01:27:30,3
12/13/23 01:28:30,24
12/13/23 01:29:30,0
12/13/23 01:30:30,0
12/13/23 01:31:30,-16
12/13/23 01:32:30,36
12/13/23 01:33:30,25
12/13/23 01:34:30,0
12/13/23 01:35:30,0
12/13/23 01:36:30,24
12/13/23 01:37:30,28
12/13/23 01:38:30,23
12/13/23 01:39:30,6
12/13/23 01:40:30,0
12/13/23 01:41:30,0
12/13/23 01:42:30,10
12/13/23 01:43:30,4
12/13/23 01:44:30,56
12/13/23 01:45:30,0
12/13/23 01:46:30,0
12/13/23 01:47:30,-39
12/13/23 01:48:30,0
12/13/23 01:49:30,0
12/13/23 01:50:30,1
12/13/23 01:51:30,34
12/13/23 01:52:30,0
12/13/23 01:53:30,-5
12/13/23 01:54:30,-51
12/13/23 01:55:30,21
12/13/23 01:56:30,0
12/13/23 01:57:30,-21
12/13/23 01:58:30,35
12/13/23 01:59:30,43
12/13/23 02:00:30,10
12/13/23 02:01:30,-31
12/13/23 02:02:30,21
12/13/23 02:03:30,-9
12/13/23 02:04:30,8
12/13/23 02:05:30,1
12/13/23 02:06:30,1
12/13/23 02:07:30,-10
12/13/23 02:08:30,0
12/13/23 02:09:30,-39
12/13/23 02:10:30,-9
12/13/23 02:11:30,-34
12/13/23 02:12:30,10
12/13/23 02:13:30,0
12/13/23 02:14:30,-1
12/13/23 02:15:30,2
12/13/23 02:16:30,0
12/13/23 02:17:30,17
12/13/23 02:18:30,0
12/13/23 02:19:30,0
12/13/23 02:20:30,-65
12/13/23 02:21:30,0
12/13/23 02:22:30,0
12/13/23 02:23:30,18
12/13/23 02:24:30,0
12/13/23 02:25:30,0
12/13/23 02:26:30,0
12/13/23 02:27:30,0
12/13/23 02:28:30,0
12/13/23 02:29:30,-21
12/13/23 02:30:30,8
12/13/23 02:31:30,-4
12/13/23 02:32:30,4
12/13/23 02:33:30,-10
