timestamp,Infrared to Red Signal Ratio
12/29/23 01:22:00,-41
12/29/23 01:23:00,9
12/29/23 01:24:00,-23
12/29/23 01:25:00,-17
12/29/23 01:26:00,41
12/29/23 01:27:00,-5
12/29/23 01:28:00,-26
12/29/23 01:29:00,-2
12/29/23 01:30:00,-8
12/29/23 01:31:00,21
12/29/23 01:32:00,0
12/29/23 01:33:00,-21
12/29/23 01:34:00,10
12/29/23 01:35:00,-1
12/29/23 01:36:00,-17
12/29/23 01:37:00,-8
12/29/23 01:38:58,-5
12/29/23 01:39:58,1
12/29/23 01:40:58,19
12/29/23 01:41:58,26
12/29/23 01:42:58,-10
12/29/23 01:43:58,-10
12/29/23 01:44:58,30
12/29/23 01:45:58,39
12/29/23 01:46:58,3
12/29/23 01:47:58,1
12/29/23 01:48:58,0
12/29/23 01:49:58,20
12/29/23 01:50:58,12
12/29/23 01:51:58,0
12/29/23 01:52:58,1
12/29/23 01:54:02,13
12/29/23 01:55:02,4
12/29/23 01:56:02,0
12/29/23 01:57:02,6
12/29/23 01:58:02,0
12/29/23 01:59:02,-8
12/29/23 02:00:02,-42
12/29/23 02:01:02,-14
12/29/23 02:02:02,-10
12/29/23 02:03:02,-3
12/29/23 02:04:02,0
12/29/23 02:05:02,13
12/29/23 02:06:02,6
12/29/23 02:07:02,0
12/29/23 02:08:02,6
12/29/23 02:09:02,-43
12/29/23 02:10:03,0
12/29/23 02:11:03,-13
12/29/23 02:12:03,-13
12/29/23 02:13:03,-17
12/29/23 02:14:03,-39
12/29/23 02:15:03,-37
12/29/23 02:16:03,-2
12/29/23 02:17:03,0
12/29/23 02:18:03,-7
12/29/23 02:19:03,4
12/29/23 02:20:03,14
12/29/23 02:21:03,-18
12/29/23 02:22:03,0
12/29/23 02:23:03,-3
12/29/23 02:24:03,0
12/29/23 02:25:08,-1
12/29/23 02:26:08,-10
12/29/23 02:27:08,0
12/29/23 02:28:08,-1
12/29/23 02:29:08,-2
12/29/23 02:30:08,-21
12/29/23 02:31:08,-10
12/29/23 02:32:08,-13
12/29/23 02:33:08,10
12/29/23 02:34:08,-17
12/29/23 02:35:08,0
12/29/23 02:36:08,-3
12/29/23 02:37:08,-1
12/29/23 02:38:08,58
12/29/23 02:39:08,0
12/29/23 02:40:06,0
12/29/23 02:41:06,0
12/29/23 02:42:06,-16
12/29/23 02:43:06,15
12/29/23 02:44:06,-40
12/29/23 02:45:06,26
12/29/23 02:46:06,0
12/29/23 02:47:06,29
12/29/23 02:48:06,-7
12/29/23 02:49:06,22
12/29/23 02:50:06,1
12/29/23 02:51:06,0
12/29/23 02:52:06,32
12/29/23 02:53:06,8
12/29/23 02:54:06,18
12/29/23 02:55:10,2
12/29/23 02:56:10,13
12/29/23 02:57:10,-8
12/29/23 02:58:10,7
12/29/23 02:59:10,12
12/29/23 03:00:10,44
12/29/23 03:01:10,4
12/29/23 03:02:10,9
12/29/23 03:03:10,13
12/29/23 03:04:10,61
12/29/23 03:05:10,0
12/29/23 03:06:10,0
12/29/23 03:07:10,0
12/29/23 03:08:10,26
12/29/23 03:09:10,-8
12/29/23 03:10:12,34
12/29/23 03:11:12,-26
12/29/23 03:12:12,7
12/29/23 03:13:12,31
12/29/23 03:14:12,0
12/29/23 03:15:12,0
12/29/23 03:16:12,-6
12/29/23 03:17:12,0
12/29/23 03:18:12,0
12/29/23 03:19:12,-15
12/29/23 03:20:12,-78
12/29/23 03:21:12,-1
12/29/23 03:22:12,-57
12/29/23 03:23:12,-17
12/29/23 03:24:12,-22
12/29/23 03:25:12,-33
12/29/23 03:26:12,22
12/29/23 03:27:12,-10
12/29/23 03:28:12,0
12/29/23 03:29:12,0
12/29/23 03:30:12,34
12/29/23 03:31:12,0
12/29/23 03:32:12,-1
12/29/23 03:33:12,-7
12/29/23 03:34:12,8
12/29/23 03:35:12,9
12/29/23 03:36:12,-2
12/29/23 03:37:12,0
12/29/23 03:38:12,33
12/29/23 03:39:12,30
12/29/23 03:40:12,0
12/29/23 03:41:17,5
12/29/23 03:42:17,0
12/29/23 03:43:17,0
12/29/23 03:44:17,5
12/29/23 03:45:17,0
12/29/23 03:46:17,0
12/29/23 03:47:17,48
12/29/23 03:48:17,0
12/29/23 03:49:17,62
12/29/23 03:50:17,19
12/29/23 03:51:17,10
12/29/23 03:52:17,26
12/29/23 03:53:17,23
12/29/23 03:54:17,0
12/29/23 03:55:17,0
12/29/23 03:56:21,86
12/29/23 03:57:21,22
12/29/23 03:58:21,-1
12/29/23 03:59:21,-1
12/29/23 04:00:21,-17
12/29/23 04:01:21,-11
12/29/23 04:02:21,0
12/29/23 04:03:21,0
12/29/23 04:04:21,-26
12/29/23 04:05:21,0
12/29/23 04:06:21,26
12/29/23 04:07:21,0
12/29/23 04:08:21,26
12/29/23 04:09:21,1
12/29/23 04:10:21,39
12/29/23 04:11:22,-20
12/29/23 04:12:22,28
12/29/23 04:13:22,0
12/29/23 04:14:22,0
12/29/23 04:15:22,-9
12/29/23 04:16:22,-11
12/29/23 04:17:22,-3
12/29/23 04:18:22,-43
12/29/23 04:19:22,20
12/29/23 04:20:22,9
12/29/23 04:21:22,-20
12/29/23 04:22:22,-29
12/29/23 04:23:22,-12
12/29/23 04:24:22,0
12/29/23 04:25:22,12
12/29/23 04:26:23,-13
12/29/23 04:27:23,-22
12/29/23 04:28:23,-4
12/29/23 04:29:23,7
12/29/23 04:30:23,0
12/29/23 04:31:23,-2
12/29/23 04:32:23,-3
12/29/23 04:33:23,-24
12/29/23 04:34:23,-28
12/29/23 04:35:23,0
12/29/23 04:36:23,-30
12/29/23 04:37:23,0
12/29/23 04:38:23,0
12/29/23 04:39:23,-17
12/29/23 04:40:23,4
12/29/23 04:41:23,0
12/29/23 04:42:23,-7
12/29/23 04:43:23,-23
12/29/23 04:44:23,0
12/29/23 04:45:23,-8
12/29/23 04:46:23,-12
12/29/23 04:47:23,0
12/29/23 04:48:23,8
12/29/23 04:49:23,-11
12/29/23 04:50:23,-2
12/29/23 04:51:23,-1
12/29/23 04:52:23,-5
12/29/23 04:53:23,0
12/29/23 04:54:23,1
12/29/23 04:55:23,52
12/29/23 04:56:28,14
12/29/23 04:57:28,-15
12/29/23 04:58:28,-32
12/29/23 04:59:28,-1
12/29/23 05:00:28,15
12/29/23 05:01:28,46
12/29/23 05:02:28,13
12/29/23 05:03:28,-49
12/29/23 05:04:28,0
12/29/23 05:05:28,0
12/29/23 05:06:28,11
12/29/23 05:07:28,45
12/29/23 05:08:28,24
12/29/23 05:09:28,5
12/29/23 05:10:28,25
12/29/23 05:11:28,17
12/29/23 05:12:30,0
12/29/23 05:13:30,16
12/29/23 05:14:30,0
12/29/23 05:15:30,31
12/29/23 05:16:30,-9
12/29/23 05:17:30,-4
12/29/23 05:18:30,-19
12/29/23 05:19:30,-8
12/29/23 05:20:30,-4
12/29/23 05:21:30,13
12/29/23 05:22:30,0
12/29/23 05:23:30,13
12/29/23 05:24:30,-4
12/29/23 05:25:30,-4
12/29/23 05:26:30,-1
12/29/23 05:27:30,6
12/29/23 05:28:30,-15
12/29/23 05:29:30,4
12/29/23 05:30:30,39
12/29/23 05:31:30,-24
12/29/23 05:32:30,-1
12/29/23 05:33:30,30
12/29/23 05:34:30,12
12/29/23 05:35:30,4
12/29/23 05:36:30,17
12/29/23 05:37:30,4
12/29/23 05:38:30,12
12/29/23 05:39:30,29
12/29/23 05:40:30,55
12/29/23 05:41:30,15
12/29/23 05:42:33,60
12/29/23 05:43:33,0
12/29/23 05:44:33,17
12/29/23 05:45:33,27
12/29/23 05:46:33,17
12/29/23 05:47:33,26
12/29/23 05:48:33,14
12/29/23 05:49:33,28
12/29/23 05:50:33,54
12/29/23 05:51:33,26
12/29/23 05:52:33,19
12/29/23 05:53:33,45
12/29/23 05:54:33,0
12/29/23 05:55:33,1
12/29/23 05:56:33,30
12/29/23 05:57:32,-7
12/29/23 05:58:32,0
12/29/23 05:59:32,-51
12/29/23 06:00:32,18
12/29/23 06:01:32,47
12/29/23 06:02:32,24
12/29/23 06:03:32,12
12/29/23 06:04:32,5
12/29/23 06:05:32,-1
12/29/23 06:06:32,35
12/29/23 06:07:32,-4
12/29/23 06:08:32,1
12/29/23 06:09:32,8
12/29/23 06:10:32,-21
12/29/23 06:11:32,-13
12/29/23 06:12:37,-31
12/29/23 06:13:37,5
12/29/23 06:14:37,4
12/29/23 06:15:37,4
12/29/23 06:16:37,5
12/29/23 06:17:37,-1
12/29/23 06:18:37,0
12/29/23 06:19:37,-68
12/29/23 06:20:37,26
12/29/23 06:21:37,-34
12/29/23 06:22:37,-12
12/29/23 06:23:37,-8
12/29/23 06:24:37,3
12/29/23 06:25:37,13
12/29/23 06:26:37,1
12/29/23 06:27:39,0
12/29/23 06:28:39,-1
12/29/23 06:29:39,2
12/29/23 06:30:39,5
12/29/23 06:31:39,0
12/29/23 06:32:39,-30
12/29/23 06:33:39,0
12/29/23 06:34:39,-34
12/29/23 06:35:39,1
12/29/23 06:36:39,0
12/29/23 06:37:39,-17
12/29/23 06:38:39,-16
12/29/23 06:39:39,2
12/29/23 06:40:39,-4
12/29/23 06:41:39,-76
12/29/23 06:42:42,0
12/29/23 06:43:42,-33
12/29/23 06:44:42,0
12/29/23 06:45:42,34
12/29/23 06:46:42,-8
12/29/23 06:47:42,-3
12/29/23 06:48:42,-40
12/29/23 06:49:42,0
12/29/23 06:50:42,-2
12/29/23 06:51:42,0
12/29/23 06:52:42,0
12/29/23 06:53:42,8
12/29/23 06:54:42,0
12/29/23 06:55:42,30
12/29/23 06:56:42,7
12/29/23 06:57:42,0
12/29/23 06:58:44,0
12/29/23 06:59:44,-5
12/29/23 07:00:44,0
12/29/23 07:01:44,-3
12/29/23 07:02:44,-62
12/29/23 07:03:44,-19
12/29/23 07:04:44,-3
12/29/23 07:05:44,-1
12/29/23 07:06:44,7
12/29/23 07:07:44,-4
12/29/23 07:08:44,-14
12/29/23 07:09:44,0
12/29/23 07:10:44,-1
12/29/23 07:11:44,37
12/29/23 07:12:44,-1
12/29/23 07:13:45,6
12/29/23 07:14:45,-33
12/29/23 07:15:45,0
12/29/23 07:16:45,-1
12/29/23 07:17:45,0
12/29/23 07:18:45,0
12/29/23 07:19:45,-65
12/29/23 07:20:45,0
12/29/23 07:21:45,0
12/29/23 07:22:45,0
12/29/23 07:23:45,0
12/29/23 07:24:45,0
12/29/23 07:25:45,0
12/29/23 07:26:45,0
12/29/23 07:27:45,0
12/29/23 07:28:42,0
12/29/23 07:29:42,0
12/29/23 07:30:42,0
12/29/23 07:31:42,0
12/29/23 07:32:42,0
12/29/23 07:33:42,0
12/29/23 07:34:42,0
12/29/23 07:35:42,0
12/29/23 07:36:42,0
12/29/23 07:37:42,0
12/29/23 07:38:42,0
12/29/23 07:39:42,0
12/29/23 07:40:42,0
12/29/23 07:41:42,0
12/29/23 07:42:42,-5
12/29/23 07:43:49,0
12/29/23 07:44:49,0
12/29/23 07:45:49,0
12/29/23 07:46:49,23
12/29/23 07:47:49,-85
12/29/23 07:48:49,0
12/29/23 07:49:49,-3
12/29/23 07:50:49,0
12/29/23 07:51:49,0
12/29/23 07:52:49,0
12/29/23 07:53:49,0
12/29/23 07:54:49,0
12/29/23 07:55:49,0
12/29/23 07:56:49,0
12/29/23 07:57:49,0
12/29/23 07:58:51,0
12/29/23 07:59:51,-30
12/29/23 08:00:51,-7
12/29/23 08:01:51,-4
12/29/23 08:02:51,-16
12/29/23 08:03:51,3
12/29/23 08:04:51,-40
12/29/23 08:05:51,8
12/29/23 08:06:51,55
12/29/23 08:07:51,-5
12/29/23 08:08:51,36
12/29/23 08:09:51,-44
12/29/23 08:10:51,77
12/29/23 08:11:51,7
12/29/23 08:12:51,0
12/29/23 08:13:53,0
12/29/23 08:14:53,0
12/29/23 08:15:53,0
12/29/23 08:16:53,0
12/29/23 08:17:53,0
12/29/23 08:18:53,-3
12/29/23 08:19:53,0
12/29/23 08:20:53,-2
12/29/23 08:21:53,31
12/29/23 08:22:53,0
12/29/23 08:23:53,-8
12/29/23 08:24:53,0
12/29/23 08:25:53,-2
12/29/23 08:26:53,0
