timestamp,Infrared to Red Signal Ratio
01/21/24 00:00:28,-11
01/21/24 00:01:28,-5
01/21/24 00:02:28,-4
01/21/24 00:03:28,-2
01/21/24 00:04:28,-30
01/21/24 00:05:28,-30
01/21/24 00:06:23,-8
01/21/24 00:07:24,-17
01/21/24 00:08:24,0
01/21/24 00:09:24,-8
01/21/24 00:10:24,-4
01/21/24 00:11:24,-60
01/21/24 00:12:24,0
01/21/24 00:13:24,0
01/21/24 00:14:24,-2
01/21/24 00:15:24,0
01/21/24 00:16:24,-10
01/21/24 00:17:24,11
01/21/24 00:18:24,17
01/21/24 00:19:24,20
01/21/24 00:20:24,19
01/21/24 00:21:24,3
01/21/24 00:22:24,52
01/21/24 00:23:24,-1
01/21/24 00:24:24,-4
01/21/24 00:25:24,7
01/21/24 00:26:24,4
01/21/24 00:27:24,-34
01/21/24 00:28:29,0
01/21/24 00:29:29,-21
01/21/24 00:30:29,0
01/21/24 00:31:29,0
01/21/24 00:32:29,1
01/21/24 00:33:29,-23
01/21/24 00:34:29,0
01/21/24 00:35:29,0
01/21/24 00:36:29,-13
01/21/24 00:37:29,0
01/21/24 00:38:29,0
01/21/24 00:39:29,8
01/21/24 00:40:29,2
01/21/24 00:41:29,0
01/21/24 00:42:29,0
01/21/24 00:43:29,-14
01/21/24 00:44:29,24
01/21/24 00:45:29,-5
01/21/24 00:46:29,0
01/21/24 00:47:29,22
01/21/24 00:48:29,13
01/21/24 00:49:30,4
01/21/24 00:50:30,19
01/21/24 00:51:30,0
01/21/24 00:52:30,-17
01/21/24 00:53:30,-14
01/21/24 00:54:30,0
01/21/24 00:55:30,0
01/21/24 00:56:30,18
01/21/24 00:57:30,17
01/21/24 00:58:30,-14
01/21/24 00:59:30,16
01/21/24 01:00:30,0
01/21/24 01:01:30,0
01/21/24 01:02:30,0
01/21/24 01:03:30,0
01/21/24 01:04:30,6
01/21/24 01:05:31,8
01/21/24 01:06:31,59
01/21/24 01:07:31,0
01/21/24 01:08:31,-4
01/21/24 01:09:31,-5
01/21/24 01:10:31,1
01/21/24 01:11:31,0
01/21/24 01:12:31,-4
01/21/24 01:13:31,-1
01/21/24 01:14:31,32
01/21/24 01:15:31,-2
01/21/24 01:16:31,0
01/21/24 01:17:31,0
01/21/24 01:18:31,0
01/21/24 01:19:31,-19
01/21/24 01:20:31,0
01/21/24 01:21:31,3
01/21/24 01:22:31,34
01/21/24 01:23:31,28
01/21/24 01:24:31,19
01/21/24 01:25:31,3
01/21/24 01:26:31,0
01/21/24 01:27:31,52
01/21/24 01:28:31,27
01/21/24 01:29:31,-17
01/21/24 01:30:31,0
01/21/24 01:31:31,-19
01/21/24 01:32:31,30
01/21/24 01:33:31,0
01/21/24 01:34:31,17
01/21/24 01:35:31,13
01/21/24 01:36:31,4
01/21/24 01:37:31,7
01/21/24 01:38:31,0
01/21/24 01:39:31,0
01/21/24 01:40:31,4
01/21/24 01:41:31,0
01/21/24 01:42:31,4
01/21/24 01:43:31,0
01/21/24 01:44:31,17
01/21/24 01:45:31,12
01/21/24 01:46:31,10
01/21/24 01:47:31,4
01/21/24 01:48:31,11
01/21/24 01:49:31,-3
01/21/24 01:50:31,0
01/21/24 01:51:31,3
01/21/24 01:52:31,16
01/21/24 01:53:31,0
01/21/24 01:54:31,0
01/21/24 01:55:31,0
01/21/24 01:56:31,1
01/21/24 01:57:31,30
01/21/24 01:58:31,-2
01/21/24 01:59:31,0
01/21/24 02:00:31,-1
01/21/24 02:01:31,-23
01/21/24 02:02:31,-13
01/21/24 02:03:31,19
01/21/24 02:04:31,4
01/21/24 02:05:31,-6
01/21/24 02:06:31,0
01/21/24 02:07:31,0
01/21/24 02:08:31,6
01/21/24 02:09:31,8
01/21/24 02:10:31,0
01/21/24 02:11:31,1
01/21/24 02:12:31,0
01/21/24 02:13:31,-17
01/21/24 02:14:31,-1
01/21/24 02:15:31,19
01/21/24 02:16:31,3
01/21/24 02:17:31,23
01/21/24 02:18:31,0
01/21/24 02:19:31,8
01/21/24 02:20:31,18
01/21/24 02:21:31,-14
01/21/24 02:22:31,-9
01/21/24 02:23:31,22
01/21/24 02:24:31,30
01/21/24 02:25:31,32
01/21/24 02:26:31,7
01/21/24 02:27:31,-3
01/21/24 02:28:31,-13
01/21/24 02:29:31,8
01/21/24 02:30:31,0
01/21/24 02:31:31,-1
01/21/24 02:32:31,0
01/21/24 02:33:31,-1
01/21/24 02:34:31,4
01/21/24 02:35:31,-17
01/21/24 02:36:31,0
01/21/24 02:37:31,1
01/21/24 02:38:31,-6
01/21/24 02:39:31,10
01/21/24 02:40:31,13
01/21/24 02:41:31,-8
01/21/24 02:42:31,0
01/21/24 02:43:31,-11
01/21/24 02:44:31,-6
01/21/24 02:45:31,-62
01/21/24 02:46:31,54
01/21/24 02:47:31,6
01/21/24 02:48:31,6
01/21/24 02:49:31,-4
01/21/24 02:50:31,5
01/21/24 02:51:31,41
01/21/24 02:52:31,15
01/21/24 02:53:31,21
01/21/24 02:54:31,0
01/21/24 02:55:31,-4
01/21/24 02:56:31,-16
01/21/24 02:57:31,-7
01/21/24 02:58:31,-38
01/21/24 02:59:31,-1
01/21/24 03:00:31,-3
01/21/24 03:01:31,17
01/21/24 03:02:31,-1
01/21/24 03:03:31,0
01/21/24 03:04:31,0
01/21/24 03:05:31,44
01/21/24 03:06:31,-6
01/21/24 03:07:31,-34
01/21/24 03:08:31,-8
01/21/24 03:09:31,5
01/21/24 03:10:31,0
01/21/24 03:11:31,4
01/21/24 03:12:31,-69
01/21/24 03:13:31,-20
01/21/24 03:14:31,10
01/21/24 03:15:31,0
01/21/24 03:16:31,-1
01/21/24 03:17:31,-19
01/21/24 03:18:31,0
01/21/24 03:19:31,0
01/21/24 03:20:31,0
01/21/24 03:21:31,0
01/21/24 03:22:31,-35
01/21/24 03:23:31,-3
01/21/24 03:24:31,5
01/21/24 03:25:31,-3
01/21/24 03:26:31,1
01/21/24 03:27:31,0
01/21/24 03:28:31,3
01/21/24 03:29:31,34
01/21/24 03:30:31,0
01/21/24 03:31:31,9
01/21/24 03:32:31,21
01/21/24 03:33:31,61
01/21/24 03:34:31,-16
01/21/24 03:35:31,3
01/21/24 03:36:31,27
