recorded_time,temperature,sensor_type
2023-12-14T00:00,0.12284482758621351,UNKNOWN
2023-12-14T00:01,0.32284482758621635,UNKNOWN
2023-12-14T00:02,0.42284482758621067,UNKNOWN
2023-12-14T00:03,0.5228448275862121,UNKNOWN
2023-12-14T00:04,0.6228448275862135,UNKNOWN
2023-12-14T00:05,0.7228448275862149,UNKNOWN
2023-12-14T00:06,0.8228448275862164,UNKNOWN
2023-12-14T00:07,0.9228448275862107,UNKNOWN
2023-12-14T00:08,1.222844827586215,UNKNOWN
2023-12-14T00:09,1.3228448275862164,UNKNOWN
2023-12-14T00:10,1.4228448275862107,UNKNOWN
2023-12-14T00:11,1.522844827586212,UNKNOWN
2023-12-14T00:12,1.6228448275862135,UNKNOWN
2023-12-14T00:13,1.722844827586215,UNKNOWN
2023-12-14T00:14,1.722844827586215,UNKNOWN
2023-12-14T00:15,1.8228448275862164,UNKNOWN
2023-12-14T00:16,1.8228448275862164,UNKNOWN
2023-12-14T00:17,1.9228448275862107,UNKNOWN
2023-12-14T00:18,1.9228448275862107,UNKNOWN
2023-12-14T00:19,1.9228448275862107,UNKNOWN
2023-12-14T00:20,1.9228448275862107,UNKNOWN
2023-12-14T00:21,1.9228448275862107,UNKNOWN
2023-12-14T00:22,1.9228448275862107,UNKNOWN
2023-12-14T00:23,2.022844827586212,UNKNOWN
2023-12-14T00:24,2.022844827586212,UNKNOWN
2023-12-14T00:25,2.022844827586212,UNKNOWN
2023-12-14T00:26,2.022844827586212,UNKNOWN
2023-12-14T00:27,2.022844827586212,UNKNOWN
2023-12-14T00:28,2.1228448275862135,UNKNOWN
2023-12-14T00:29,2.1228448275862135,UNKNOWN
2023-12-14T00:30,2.1228448275862135,UNKNOWN
2023-12-14T00:31,2.1228448275862135,UNKNOWN
2023-12-14T00:32,2.1228448275862135,UNKNOWN
2023-12-14T00:33,2.1228448275862135,UNKNOWN
2023-12-14T00:34,2.222844827586215,UNKNOWN
2023-12-14T00:35,2.222844827586215,UNKNOWN
2023-12-14T00:36,2.222844827586215,UNKNOWN
2023-12-14T00:37,2.222844827586215,UNKNOWN
2023-12-14T00:38,2.222844827586215,UNKNOWN
2023-12-14T00:39,2.222844827586215,UNKNOWN
2023-12-14T00:40,2.222844827586215,UNKNOWN
2023-12-14T00:41,2.222844827586215,UNKNOWN
2023-12-14T00:42,2.222844827586215,UNKNOWN
2023-12-14T00:43,2.222844827586215,UNKNOWN
2023-12-14T00:44,2.222844827586215,UNKNOWN
2023-12-14T00:45,2.3228448275862164,UNKNOWN
2023-12-14T00:46,2.222844827586215,UNKNOWN
2023-12-14T00:47,1.6228448275862135,UNKNOWN
