date_time,heart_zone_id,total_minutes
2023-12-01T17:21,FAT_BURN,1
2023-12-01T17:22,FAT_BURN,1
2023-12-01T18:22,FAT_BURN,1
2023-12-01T18:23,FAT_BURN,1
2023-12-01T18:24,FAT_BURN,1
2023-12-02T08:51,FAT_BURN,1
2023-12-02T08:52,FAT_BURN,1
2023-12-02T08:53,CARDIO,2
2023-12-02T08:54,FAT_BURN,1
2023-12-02T08:55,FAT_BURN,1
2023-12-02T10:10,FAT_BURN,1
2023-12-02T10:11,FAT_BURN,1
2023-12-02T10:13,FAT_BURN,1
2023-12-02T10:17,FAT_BURN,1
2023-12-02T10:18,FAT_BURN,1
2023-12-02T10:19,CARDIO,2
2023-12-02T10:20,FAT_BURN,1
2023-12-02T10:21,FAT_BURN,1
2023-12-02T10:22,FAT_BURN,1
2023-12-02T10:23,FAT_BURN,1
2023-12-02T10:36,FAT_BURN,1
2023-12-02T10:48,FAT_BURN,1
2023-12-02T10:49,FAT_BURN,1
2023-12-02T11:54,FAT_BURN,1
2023-12-02T11:56,FAT_BURN,1
2023-12-02T12:00,FAT_BURN,1
2023-12-02T12:01,FAT_BURN,1
2023-12-02T12:04,FAT_BURN,1
2023-12-02T12:05,CARDIO,2
2023-12-02T12:06,CARDIO,2
2023-12-02T12:07,CARDIO,2
2023-12-02T12:08,CARDIO,2
2023-12-02T12:09,CARDIO,2
2023-12-02T12:10,FAT_BURN,1
2023-12-02T12:13,FAT_BURN,1
2023-12-02T13:23,FAT_BURN,1
2023-12-02T14:16,FAT_BURN,1
2023-12-02T15:20,FAT_BURN,1
2023-12-02T15:21,FAT_BURN,1
2023-12-02T15:22,FAT_BURN,1
2023-12-02T15:23,FAT_BURN,1
2023-12-02T15:25,FAT_BURN,1
2023-12-02T15:26,FAT_BURN,1
2023-12-02T15:33,FAT_BURN,1
2023-12-02T15:49,FAT_BURN,1
2023-12-02T15:54,FAT_BURN,1
2023-12-02T15:56,FAT_BURN,1
2023-12-02T15:57,FAT_BURN,1
2023-12-02T15:58,FAT_BURN,1
2023-12-02T16:01,FAT_BURN,1
