date_time,heart_zone_id,total_minutes
2024-02-10T09:35,CARDIO,2
2024-02-10T09:36,CARDIO,2
2024-02-10T09:37,CARDIO,2
2024-02-10T09:38,FAT_BURN,1
2024-02-10T09:39,FAT_BURN,1
2024-02-10T10:20,FAT_BURN,1
2024-02-10T10:23,FAT_BURN,1
2024-02-10T10:25,FAT_BURN,1
2024-02-10T10:26,FAT_BURN,1
2024-02-10T10:29,FAT_BURN,1
2024-02-10T10:30,FAT_BURN,1
2024-02-10T10:31,FAT_BURN,1
2024-02-10T11:13,FAT_BURN,1
2024-02-10T11:14,FAT_BURN,1
2024-02-10T11:15,FAT_BURN,1
2024-02-10T11:16,FAT_BURN,1
2024-02-10T11:17,FAT_BURN,1
2024-02-10T11:30,FAT_BURN,1
2024-02-10T11:31,FAT_BURN,1
2024-02-10T11:32,FAT_BURN,1
2024-02-10T11:33,FAT_BURN,1
2024-02-10T11:34,FAT_BURN,1
2024-02-10T11:35,FAT_BURN,1
2024-02-10T11:36,FAT_BURN,1
2024-02-10T11:38,FAT_BURN,1
2024-02-10T11:42,FAT_BURN,1
2024-02-10T11:43,FAT_BURN,1
2024-02-10T11:44,FAT_BURN,1
2024-02-10T11:45,FAT_BURN,1
2024-02-10T11:46,FAT_BURN,1
2024-02-10T11:47,FAT_BURN,1
2024-02-10T11:48,FAT_BURN,1
2024-02-10T11:49,FAT_BURN,1
2024-02-10T11:50,FAT_BURN,1
2024-02-10T12:01,FAT_BURN,1
2024-02-11T08:22,FAT_BURN,1
2024-02-11T08:23,FAT_BURN,1
2024-02-11T08:24,FAT_BURN,1
2024-02-11T08:25,CARDIO,2
2024-02-11T08:26,CARDIO,2
2024-02-11T08:27,CARDIO,2
2024-02-11T08:28,CARDIO,2
2024-02-11T08:29,FAT_BURN,1
2024-02-11T08:30,FAT_BURN,1
2024-02-11T08:31,FAT_BURN,1
2024-02-11T08:32,FAT_BURN,1
2024-02-11T08:33,FAT_BURN,1
2024-02-11T09:35,FAT_BURN,1
2024-02-11T09:55,FAT_BURN,1
2024-02-12T08:42,FAT_BURN,1
2024-02-12T08:43,FAT_BURN,1
2024-02-12T08:44,CARDIO,2
2024-02-12T08:45,CARDIO,2
2024-02-12T08:46,CARDIO,2
2024-02-12T08:47,CARDIO,2
2024-02-12T08:48,FAT_BURN,1
2024-02-12T08:49,FAT_BURN,1
2024-02-12T08:50,CARDIO,2
2024-02-12T08:51,CARDIO,2
2024-02-12T08:52,CARDIO,2
2024-02-12T08:53,CARDIO,2
2024-02-12T08:54,CARDIO,2
2024-02-12T08:55,FAT_BURN,1
2024-02-13T07:53,CARDIO,2
2024-02-13T07:54,FAT_BURN,1
2024-02-13T07:55,FAT_BURN,1
2024-02-13T07:56,FAT_BURN,1
2024-02-13T07:57,FAT_BURN,1
2024-02-13T07:59,FAT_BURN,1
2024-02-13T08:00,FAT_BURN,1
2024-02-14T07:51,CARDIO,2
2024-02-14T07:52,FAT_BURN,1
2024-02-14T07:53,FAT_BURN,1
2024-02-14T07:54,CARDIO,2
2024-02-14T07:55,CARDIO,2
2024-02-14T07:56,FAT_BURN,1
2024-02-14T16:26,FAT_BURN,1
2024-02-14T16:27,FAT_BURN,1
2024-02-15T09:45,CARDIO,2
2024-02-15T09:46,CARDIO,2
2024-02-15T09:47,FAT_BURN,1
2024-02-15T09:48,FAT_BURN,1
2024-02-15T09:49,CARDIO,2
2024-02-15T09:50,FAT_BURN,1
2024-02-16T08:56,CARDIO,2
2024-02-16T08:57,CARDIO,2
2024-02-16T08:58,CARDIO,2
2024-02-16T08:59,FAT_BURN,1
2024-02-16T09:01,FAT_BURN,1
2024-02-16T13:13,FAT_BURN,1
2024-02-16T13:14,FAT_BURN,1
2024-02-16T18:22,FAT_BURN,1
2024-02-16T18:23,FAT_BURN,1
2024-02-16T18:24,FAT_BURN,1
2024-02-16T18:25,FAT_BURN,1
2024-02-16T18:37,FAT_BURN,1
2024-02-16T18:38,FAT_BURN,1
2024-02-16T18:39,FAT_BURN,1
2024-02-17T10:30,CARDIO,2
2024-02-17T10:31,FAT_BURN,1
2024-02-17T10:32,FAT_BURN,1
2024-02-17T10:33,FAT_BURN,1
2024-02-17T10:34,FAT_BURN,1
2024-02-17T10:35,FAT_BURN,1
2024-02-17T10:36,FAT_BURN,1
2024-02-17T20:49,FAT_BURN,1
2024-02-18T09:29,FAT_BURN,1
2024-02-18T09:30,FAT_BURN,1
2024-02-18T09:31,FAT_BURN,1
2024-02-18T09:32,FAT_BURN,1
2024-02-18T09:33,FAT_BURN,1
2024-02-18T09:34,FAT_BURN,1
2024-02-18T09:35,FAT_BURN,1
2024-02-18T15:39,FAT_BURN,1
2024-02-19T08:21,FAT_BURN,1
2024-02-19T08:22,FAT_BURN,1
2024-02-19T08:23,FAT_BURN,1
2024-02-19T08:24,CARDIO,2
2024-02-19T08:25,CARDIO,2
2024-02-19T08:26,FAT_BURN,1
2024-02-20T08:13,FAT_BURN,1
2024-02-20T08:14,FAT_BURN,1
2024-02-20T08:15,FAT_BURN,1
2024-02-20T08:16,FAT_BURN,1
2024-02-20T08:17,FAT_BURN,1
2024-02-20T08:18,FAT_BURN,1
