date,readiness_score_value,readiness_state,activity_subcomponent,sleep_subcomponent,hrv_subcomponent,activity_state,sleep_state,hrv_state
2024-02-01,100.0,HIGH,100.0,85.0,62.0,LOW,HIGH,MEDIUM
2024-01-31,99.0,HIGH,99.0,92.0,55.0,LOW,HIGH,MEDIUM
2024-01-30,93.0,HIGH,93.0,96.0,48.0,LOW,HIGH,MEDIUM
2024-01-29,85.0,HIGH,85.0,89.0,51.0,LOW,HIGH,MEDIUM
2024-01-28,88.0,HIGH,88.0,93.0,62.0,LOW,HIGH,MEDIUM
2024-01-27,72.0,HIGH,72.0,64.0,63.0,LOW,MEDIUM,MEDIUM
2024-01-26,85.0,HIGH,85.0,93.0,42.0,LOW,HIGH,MEDIUM
2024-01-25,100.0,HIGH,100.0,90.0,48.0,LOW,HIGH,MEDIUM
2024-01-24,94.0,HIGH,94.0,91.0,53.0,LOW,HIGH,MEDIUM
2024-01-23,93.0,HIGH,93.0,87.0,57.0,LOW,HIGH,MEDIUM
2024-01-22,83.0,HIGH,83.0,88.0,54.0,LOW,HIGH,MEDIUM
2024-01-21,63.0,MEDIUM,63.0,87.0,55.0,MEDIUM,HIGH,MEDIUM
2024-01-20,24.0,LOW,79.0,24.0,54.0,LOW,LOW,MEDIUM
2024-01-19,75.0,HIGH,75.0,66.0,48.0,LOW,MEDIUM,MEDIUM
2024-01-18,63.0,MEDIUM,63.0,89.0,61.0,MEDIUM,HIGH,MEDIUM
2024-01-17,54.0,MEDIUM,54.0,96.0,57.0,MEDIUM,HIGH,MEDIUM
2024-01-16,23.0,LOW,23.0,93.0,52.0,HIGH,HIGH,MEDIUM
2024-01-15,1.0,LOW,0.0,95.0,59.0,HIGH,HIGH,MEDIUM
2024-01-14,54.0,MEDIUM,54.0,86.0,45.0,MEDIUM,HIGH,MEDIUM
2024-01-13,97.0,HIGH,97.0,66.0,50.0,LOW,MEDIUM,MEDIUM
2024-01-12,97.0,HIGH,97.0,57.0,49.0,LOW,MEDIUM,MEDIUM
2024-01-11,98.0,HIGH,98.0,84.0,77.0,LOW,HIGH,HIGH
2024-01-10,98.0,HIGH,98.0,99.0,42.0,LOW,HIGH,MEDIUM
2024-01-09,21.0,LOW,96.0,96.0,21.0,LOW,HIGH,LOW
2024-01-08,28.0,LOW,86.0,81.0,28.0,LOW,HIGH,LOW
2024-01-07,79.0,HIGH,79.0,93.0,50.0,LOW,HIGH,MEDIUM
2024-01-06,68.0,HIGH,68.0,97.0,47.0,LOW,HIGH,MEDIUM
2024-01-05,87.0,HIGH,87.0,93.0,56.0,LOW,HIGH,MEDIUM
2024-01-04,72.0,HIGH,72.0,98.0,47.0,LOW,HIGH,MEDIUM
2024-01-03,95.0,HIGH,95.0,99.0,49.0,LOW,HIGH,MEDIUM
2024-01-02,100.0,HIGH,100.0,97.0,67.0,LOW,HIGH,MEDIUM
2024-01-01,100.0,HIGH,100.0,80.0,45.0,LOW,HIGH,MEDIUM
