DATE,UPDATED_AT,STRESS_SCORE,SLEEP_POINTS,MAX_SLEEP_POINTS,RESPONSIVENESS_POINTS,MAX_RESPONSIVENESS_POINTS,EXERTION_POINTS,MAX_EXERTION_POINTS,STATUS,CALCULATION_FAILED
2024-02-05T00:00:00,2024-02-05T07:09:21.251,80,25,30,26,30,29,40,READY,false
2024-02-06T00:00:00,2024-02-06T14:38:03.852,78,21,30,28,30,29,40,READY,false
2024-02-07T00:00:00,2024-02-07T07:59:09.681,80,25,30,26,30,29,40,READY,false
2024-02-08T00:00:00,2024-02-08T08:08:57.863,82,28,30,21,30,33,40,READY,false
2024-02-09T00:00:00,2024-02-10T09:41:56.585,75,25,30,20,30,30,40,READY,false
2024-02-10T00:00:00,2024-02-10T09:41:56.773,78,26,30,20,30,32,40,READY,false
2024-02-11T00:00:00,2024-02-11T07:50:52.496,85,25,30,23,30,37,40,READY,false
2024-02-12T00:00:00,2024-02-12T07:55:30.068,84,26,30,23,30,35,40,READY,false
2024-02-13T00:00:00,2024-02-13T07:04:41.32,76,25,30,20,30,31,40,READY,false
2024-02-14T00:00:00,2024-02-14T07:01:00.169,72,19,30,22,30,31,40,READY,false
2024-02-15T00:00:00,2024-02-15T08:55:04.305,79,25,30,24,30,30,40,READY,false
2024-02-16T00:00:00,2024-02-16T09:53:41.442,77,25,30,23,30,29,40,READY,false
2024-02-17T00:00:00,2024-02-17T08:44:04.224,70,22,30,19,30,29,40,READY,false
2024-02-18T00:00:00,2024-02-18T08:39:55.996,67,21,30,20,30,26,40,READY,false
2024-02-19T00:00:00,2024-02-19T07:28:21.074,78,26,30,24,30,28,40,READY,false
2024-02-20T00:00:00,2024-02-20T07:24:01.951,71,22,30,23,30,26,40,READY,false
