type,sleep_start,sleep_end,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
IDT,2024-01-01T01:25:30,2024-01-01T10:05:30,515,32.38990291262136,-388.58956797082647,2323.1949754089583,0.6731515010400917,1.6121672383058978
IDT,2024-01-01T19:20:30,2024-01-02T08:32:30,792,31.566414141414143,-1205.5497972450103,3558.2648909564596,0.7236977910076988,1.6405758134333719
IDT,2024-01-02T23:01,2024-01-03T11:15:30,730,32.637945205479454,-328.95827271320013,2533.1766509402078,0.7262265822325038,1.6290010913670518
IDT,2024-01-03T23:54:30,2024-01-04T09:30,573,32.927050610820245,-35.50835164835371,2610.611139680259,0.6578270980856422,1.6426739877130079
IDT,2024-01-04T23:04:30,2024-01-05T08:10:30,539,33.71688311688312,392.3183219224047,833.450474426616,0.6699745487843083,1.6364990257584193
IDT,2024-01-05T22:57,2024-01-06T09:30:30,634,33.44794952681388,227.84473301346588,833.684388583526,0.6769843856514285,1.629394254605879
IDT,2024-01-07T03:11:30,2024-01-07T09:58:30,407,31.875921375921376,-453.0310630381846,1979.4321967506548,0.7038292758217024,1.6519069575752598
IDT,2024-01-07T22:58:30,2024-01-08T13:21:30,863,33.47612977983778,420.375903189306,3472.517566607101,0.7026042575776057,1.6927368759554642
IDT,2024-01-09T09:15,2024-01-09T19:15,600,32.48166666666667,-304.4118865427772,1297.1426611142233,0.7064946676207059,1.682264109272235
IDT,2024-01-09T22:47,2024-01-10T10:57:30,731,31.08481532147743,-1391.9734817712852,5251.043603220722,0.7800584327773972,1.7394986694231778
IDT,2024-01-11T01:39:30,2024-01-11T09:17,457,30.26805251641138,-1243.482053583415,5277.587565829395,0.9193534142523371,1.8012932332922371
IDT,2024-01-12T01:37,2024-01-12T08:19:30,401,31.179800498753117,-725.4969441727553,3128.349466344109,0.951110353428574,1.8342100176919067
IDT,2024-01-13T00:17,2024-01-13T08:17:30,481,31.32910602910603,-741.8058413937943,2841.93726886902,0.9806765639286056,1.8589398938183959
IDT,2024-01-13T22:19:30,2024-01-14T09:55:30,684,31.97573099415205,-612.5841902564534,2708.601973906625,0.9881362039023429,1.875146170534898
IDT,2024-01-14T23:10,2024-01-15T09:06:30,596,31.693959731543625,-701.7078616854524,2177.8625556228217,0.9774059320280236,1.872395971269842
IDT,2024-01-15T23:39,2024-01-16T08:05:30,507,31.928994082840237,-433.99879972327835,2518.0925801997073,0.9735970637880991,1.8838613125714732
IDT,2024-01-16T21:31:30,2024-01-17T08:12,637,31.70125588697017,-633.7688812785345,2741.3731473735534,0.9734019570644379,1.9007759982910009
IDT,2024-01-17T22:42,2024-01-18T07:18:30,513,33.21929824561404,268.3578711210539,1535.4009103169665,0.9640432633625801,1.8986614289043748
IDT,2024-01-18T23:08:30,2024-01-19T07:44:30,499,32.056312625250506,-251.243162100458,3495.4268667380093,0.9399783486556768,1.9353473546766067
IDT,2024-01-20T02:25:30,2024-01-20T10:26,479,33.207724425887264,310.3529566210036,1251.9048385875067,0.8835311616606877,1.9410896330240086
IDT,2024-01-20T23:16:30,2024-01-21T08:33,553,33.04882459312839,270.4273173515976,1790.785739547573,0.8802831564748177,1.9486746154509063
IDT,2024-01-21T22:25,2024-01-22T07:38,553,32.00524412296564,-238.088988673142,1300.0617839556653,0.8565228634356082,1.9380671984258064
IDT,2024-01-22T23:10,2024-01-23T07:35,505,32.58613861386139,75.92868122977052,1336.0391378875356,0.8473010859410227,1.949652417063975
IDT,2024-01-24T01:45:30,2024-01-24T09:02:30,437,33.18077803203661,325.5620469255646,2005.1600604080595,0.8574203691483995,1.9695386765782321
IDT,2024-01-25T00:28:30,2024-01-25T07:22:30,414,33.431400966183574,412.18509708737656,1444.7499378283974,0.8692884915301152,1.9830588300929175
IDT,2024-01-25T22:59,2024-01-26T08:17,556,33.31996402877698,491.60365695792643,2202.4941466446035,0.8847930024984921,1.9975209657810085
IDT,2024-01-27T02:10,2024-01-27T08:59:30,410,33.718536585365854,525.9282362459526,1147.1545114165638,0.9028686276282408,2.0068491749461868
IDT,2024-01-28T00:14,2024-01-28T09:02,528,32.14431818181818,-153.89436893204038,1503.0780242215842,0.9020860896125072,2.0051593329743227
IDT,2024-01-29T00:10,2024-01-29T08:16:30,487,33.17474332648871,337.52833333333183,1417.792352777673,0.8970158815215796,2.0017836947461003
IDT,2024-01-30T02:05,2024-01-30T08:06,361,31.11468144044321,-476.9183090614915,1631.9705637621228,0.9140490341512734,1.9999844710796093
IDT,2024-01-31T00:54,2024-01-31T09:23:30,510,32.221372549019605,-66.375,1181.855550245382,0.9146075381514887,1.9865103732826157
IDT,2024-02-01T01:23:30,2024-02-01T07:50:30,379,31.479683377308707,-330.4259313725506,1167.630860483856,0.9174356119889249,1.983128243461412
