type,sleep_start,sleep_end,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
IDT,2024-02-01T01:23:30,2024-02-01T07:50:30,379,31.479683377308707,-330.4259313725506,1167.630860483856,0.9174356119889249,1.983128243461412
IDT,2024-02-02T02:18,2024-02-02T09:08:30,407,33.46117936117936,451.6315196078431,1203.9639545535902,0.9372726318671571,1.989108967558528
IDT,2024-02-03T01:30:30,2024-02-03T08:20,409,33.00929095354523,269.0284803921568,2321.2239199562464,0.9389399535720424,1.9973297792824145
IDT,2024-02-03T23:23,2024-02-04T08:35,552,33.281702898550726,513.4611764705878,1263.4982060554903,0.9213783606928837,2.004402891981502
IDT,2024-02-04T23:40,2024-02-05T07:50,490,32.968979591836735,302.5553921568626,1424.2043373942142,0.9066884837266667,2.023695687433021
IDT,2024-02-06T02:36,2024-02-06T07:47:30,312,33.890064102564104,423.12237623762303,834.5414592082379,0.9414060505111217,2.0175760116675256
IDT,2024-02-06T23:39,2024-02-07T08:35:30,532,32.75375939849624,116.96379537953544,1328.8577620857395,0.9234451750643315,2.002089651639516
IDT,2024-02-07T22:50,2024-02-08T08:14:30,563,33.73996447602131,602.4187095213274,1479.6081378001254,0.953918980950049,2.013154246508889
IDT,2024-02-09T01:05:30,2024-02-09T08:22,436,33.809174311926604,413.2429001074124,762.6769139660755,0.9469075501023186,1.9624183258090147
IDT,2024-02-09T23:00:30,2024-02-10T08:02:30,542,31.690036900369,-634.8622663802344,2250.6410650801845,0.8596172213225788,1.9038118891537648
IDT,2024-02-10T23:06,2024-02-11T08:13,547,32.95155393053017,-4.765918367345876,1296.567703798879,0.8177610674999934,1.8608479783298226
IDT,2024-02-11T23:28:30,2024-02-12T08:34,545,33.125504587155966,74.32127638341262,774.4706277488731,0.7811557953999843,1.8167335678196208
IDT,2024-02-12T23:14:30,2024-02-13T07:22:30,487,31.857289527720738,-551.2088778005109,1565.6150451048743,0.7853855531577644,1.8072049077266767
IDT,2024-02-14T00:15,2024-02-14T07:43,448,32.700223214285714,-129.43260216556155,1090.7646171948873,0.760907883223194,1.7927031707069223
IDT,2024-02-14T22:25:30,2024-02-15T09:35:30,670,33.45850746268657,287.7312918643365,1607.4326213698369,0.7545733831875465,1.760502251727485
IDT,2024-02-15T23:12:30,2024-02-16T08:40,567,33.88306878306878,451.27767738938564,1631.3712559258565,0.7491246129633051,1.7328420950170615
IDT,2024-02-17T00:06:30,2024-02-17T09:00,533,32.52889305816135,-266.58779318851884,1459.8728545533959,0.7490411845573928,1.7356586187951228
IDT,2024-02-17T23:41,2024-02-18T09:17,576,32.64201388888889,-222.93727744200442,1343.0097737384494,0.7348710940310312,1.6883842035077667
IDT,2024-02-19T00:13:30,2024-02-19T08:12:30,475,33.91747368421053,421.997557665014,1018.8343130005524,0.7568973643746884,1.6828298098124344
IDT,2024-02-20T00:15:30,2024-02-20T07:34:30,439,33.01981776765376,2.310635696821919,1399.1897472376004,0.7567233576616628,1.6839254894177096
