timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2024-01-01T10:05:30,19.4,1.7,10.502,-1.0,0.0,2.356,19.4,1.7,10.502,8.6,0.5,2.539
2024-01-02T08:32:30,19.4,0.9,6.12,19.4,0.9,6.12,18.8,1.7,9.046,-1.0,0.0,2.349
2024-01-02T18:54:30,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,1.476,-1.0,0.0,0.0
2024-01-03T06:50:00,20.0,1.1,8.653,20.0,1.1,8.653,19.8,1.6,7.607,0.6,0.5,2.515
2024-01-03T11:15:30,20.0,1.1,7.955,20.0,1.1,7.955,19.0,1.9,9.654,-1.0,0.0,2.173
2024-01-04T09:30:00,19.6,1.3,7.409,19.6,1.3,7.409,-1.0,0.0,2.383,-1.0,0.0,1.934
2024-01-05T08:10:30,19.4,1.2,7.228,19.4,1.2,7.228,18.8,1.5,9.712,10.2,1.8,4.327
2024-01-06T09:30:30,19.0,1.5,8.386,19.0,1.5,8.386,18.6,1.8,8.42,-1.0,0.0,2.139
2024-01-07T09:58:30,19.2,1.2,6.372,19.2,1.2,6.372,18.6,2.3,7.142,-1.0,0.0,1.693
2024-01-08T13:21:30,26.0,1.4,4.403,26.0,1.4,4.403,25.0,0.5,4.095,23.8,2.6,6.093
2024-01-08T22:27:00,26.2,1.4,4.134,-1.0,0.0,1.554,26.2,1.4,4.134,-1.0,0.0,1.966
2024-01-09T08:08:30,17.4,0.4,2.581,17.4,0.4,2.581,24.6,2.1,2.788,26.0,1.6,7.862
2024-01-09T19:15:00,0.0,0.0,1.649,-1.0,0.0,1.649,-1.0,0.0,2.15,25.8,1.7,3.773
2024-01-10T10:57:30,24.4,1.9,4.678,24.4,1.9,4.678,-1.0,0.0,2.336,-1.0,0.0,2.208
2024-01-11T09:17:00,29.6,0.4,2.91,-1.0,0.0,2.047,29.6,0.4,2.91,10.4,1.4,3.068
2024-01-12T08:19:30,19.0,1.4,9.489,23.4,0.5,3.726,19.0,1.4,9.489,-1.0,0.0,1.496
2024-01-13T08:17:30,18.6,0.9,4.428,18.6,0.9,4.428,18.8,1.0,6.34,-1.0,0.0,2.263
2024-01-14T09:55:30,19.2,0.6,6.349,19.2,0.6,6.349,18.4,1.5,8.517,11.0,2.6,3.487
2024-01-15T09:06:30,18.8,1.3,11.761,-1.0,0.0,1.958,18.8,1.3,11.761,-1.0,0.0,2.258
2024-01-16T08:05:30,19.0,1.7,7.89,-1.0,0.0,2.112,19.0,1.7,7.89,11.4,0.8,3.385
2024-01-17T08:12:00,19.2,1.4,6.707,19.2,1.4,6.707,18.8,1.3,8.942,19.0,3.6,12.297
2024-01-18T07:18:30,17.6,1.2,10.181,17.6,1.2,10.181,18.6,1.5,14.105,19.0,2.3,5.735
2024-01-19T07:44:30,19.0,0.8,5.926,19.0,0.8,5.926,18.6,1.8,10.59,18.6,2.2,5.008
2024-01-20T10:26:00,18.4,1.1,8.775,18.4,1.1,8.775,18.8,1.8,12.267,-1.0,0.0,1.415
2024-01-21T08:33:00,19.2,0.8,5.514,19.2,0.8,5.514,18.6,1.8,7.267,-1.0,0.0,2.034
2024-01-22T07:38:00,19.4,1.3,6.719,19.4,1.3,6.719,19.0,1.5,10.486,-1.0,0.0,1.621
2024-01-23T07:35:00,19.8,0.7,6.588,19.8,0.7,6.588,19.0,1.4,10.438,22.6,0.5,2.977
2024-01-23T18:10:00,25.6,0.9,3.888,-1.0,0.0,2.031,25.6,0.9,3.888,-1.0,0.0,1.912
2024-01-24T09:02:30,19.0,1.9,9.26,-1.0,0.0,1.978,19.0,1.9,9.26,12.4,0.9,2.548
2024-01-25T07:22:30,19.6,1.1,6.278,19.6,1.1,6.278,19.4,1.5,9.244,29.8,0.1,3.067
2024-01-26T08:17:00,20.2,1.4,9.376,20.2,1.4,9.376,19.4,1.3,8.387,27.6,0.4,2.858
2024-01-27T08:59:30,19.6,0.8,5.247,19.6,0.8,5.247,19.4,1.9,15.155,-1.0,0.0,2.279
2024-01-28T09:02:00,19.6,1.4,6.222,19.6,1.4,6.222,19.0,1.3,11.211,9.6,0.6,3.59
2024-01-29T08:16:30,19.4,1.0,4.214,19.4,1.0,4.214,19.4,1.9,9.573,22.2,0.4,3.439
2024-01-30T08:06:00,19.0,1.2,5.343,19.0,1.2,5.343,18.6,1.6,6.24,9.6,0.6,2.811
2024-01-31T09:23:30,19.6,0.8,5.143,19.6,0.8,5.143,19.0,1.4,9.723,-1.0,0.0,1.842
