timestamp,rmssd,coverage,low_frequency,high_frequency
2024-01-29T00:10:00,24.226,0.948,735.626,80.189
2024-01-29T00:15:00,14.707,0.926,243.709,29.994
2024-01-29T00:20:00,23.682,0.96,517.42,150.806
2024-01-29T00:25:00,30.665,0.866,925.942,229.583
2024-01-29T00:30:00,23.611,0.937,434.089,91.7
2024-01-29T00:35:00,22.773,0.994,649.542,107.08
2024-01-29T00:40:00,24.043,0.961,499.111,143.995
2024-01-29T00:45:00,22.491,0.989,416.106,87.788
2024-01-29T00:50:00,22.117,1.001,207.919,112.114
2024-01-29T00:55:00,22.163,1.004,288.407,134.416
2024-01-29T01:00:00,17.863,1.001,138.845,74.052
2024-01-29T01:05:00,18.934,0.967,107.827,82.622
2024-01-29T01:10:00,20.209,1.001,348.481,87.487
2024-01-29T01:15:00,22.141,0.957,1873.263,122.122
2024-01-29T01:20:00,12.951,0.973,300.298,33.818
2024-01-29T01:25:00,16.56,0.99,383.812,71.176
2024-01-29T01:30:00,21.886,0.964,1002.846,97.056
2024-01-29T01:35:00,30.586,0.974,1437.838,179.782
2024-01-29T01:40:00,32.374,0.977,2849.651,364.993
2024-01-29T01:45:00,30.525,0.971,1555.413,194.065
2024-01-29T01:50:00,29.138,0.914,585.9,117.484
2024-01-29T01:55:00,37.536,0.894,3785.104,232.113
2024-01-29T02:00:00,29.884,1.001,533.975,171.618
2024-01-29T02:05:00,30.689,0.984,943.135,131.869
2024-01-29T02:10:00,43.405,0.963,578.219,204.998
2024-01-29T02:15:00,35.867,1.006,521.739,198.053
2024-01-29T02:20:00,38.044,0.976,1358.344,224.692
2024-01-29T02:25:00,47.266,0.982,635.181,281.974
2024-01-29T02:30:00,67.281,0.942,7601.955,774.056
2024-01-29T02:35:00,44.73,0.877,1866.504,307.59
2024-01-29T02:40:00,52.42,0.871,3931.66,574.438
2024-01-29T02:45:00,31.19,0.941,697.911,221.864
2024-01-29T02:50:00,89.893,0.907,702.191,332.238
2024-01-29T02:55:00,66.665,0.972,988.205,575.524
2024-01-29T03:00:00,88.551,0.99,454.941,181.118
2024-01-29T03:15:00,29.513,0.758,1118.919,225.497
2024-01-29T03:25:00,54.973,0.968,709.817,502.974
2024-01-29T03:35:00,52.077,0.853,2002.936,764.201
2024-01-29T03:45:00,84.736,0.876,2598.901,804.023
2024-01-29T03:50:00,42.433,0.842,563.825,176.379
2024-01-29T03:55:00,46.764,0.958,2109.272,410.738
2024-01-29T04:00:00,49.503,0.899,1215.905,299.763
2024-01-29T04:05:00,52.346,0.892,1056.185,460.565
2024-01-29T04:10:00,49.549,0.986,1280.424,455.333
2024-01-29T04:15:00,40.34,1.002,526.249,256.746
2024-01-29T04:20:00,36.936,1.002,463.668,216.806
2024-01-29T04:25:00,54.365,0.843,2118.224,293.69
2024-01-29T04:30:00,71.935,0.962,6206.421,1122.773
2024-01-29T04:35:00,57.06,0.91,2121.452,718.315
2024-01-29T04:40:00,46.074,0.989,426.852,253.268
2024-01-29T04:45:00,46.724,1.002,1110.943,326.34
2024-01-29T04:50:00,43.4,0.946,1341.341,287.781
2024-01-29T04:55:00,63.823,0.869,3387.735,545.806
2024-01-29T05:00:00,24.565,1.001,545.49,91.148
2024-01-29T05:05:00,22.121,0.955,604.524,112.675
2024-01-29T05:10:00,14.244,0.959,437.496,22.267
2024-01-29T05:15:00,21.578,0.895,394.507,107.922
2024-01-29T05:20:00,28.077,0.993,553.12,64.997
2024-01-29T05:25:00,112.017,0.948,620.663,1068.706
2024-01-29T05:30:00,41.054,0.927,918.105,273.445
2024-01-29T05:35:00,55.571,1.002,1309.742,490.187
2024-01-29T05:40:00,55.588,1.004,907.844,614.066
2024-01-29T05:45:00,57.929,0.942,1187.767,528.813
2024-01-29T05:50:00,57.203,1.004,853.003,514.815
2024-01-29T05:55:00,59.703,0.995,609.048,542.086
2024-01-29T06:00:00,81.557,1.001,1121.562,1098.371
2024-01-29T06:05:00,119.567,0.937,1250.884,2016.443
2024-01-29T06:10:00,59.236,0.989,995.008,664.64
2024-01-29T06:15:00,47.532,0.996,371.99,332.144
2024-01-29T06:20:00,41.901,1.002,298.242,236.238
2024-01-29T06:25:00,43.852,0.973,319.999,320.373
2024-01-29T06:30:00,42.041,0.942,495.451,330.179
2024-01-29T06:35:00,81.389,0.928,4393.788,987.815
2024-01-29T06:40:00,58.806,0.957,1374.808,519.736
2024-01-29T06:45:00,45.172,0.877,371.549,247.924
2024-01-29T06:50:00,107.23,0.982,3674.13,1355.304
2024-01-29T06:55:00,60.57,0.989,1185.601,561.88
2024-01-29T07:00:00,53.712,0.992,1678.89,441.075
2024-01-29T07:05:00,96.83,0.942,1464.588,1544.052
2024-01-29T07:10:00,62.257,0.998,1234.679,665.304
2024-01-29T07:15:00,48.691,0.999,854.283,363.343
2024-01-29T07:20:00,80.585,0.95,3566.23,844.411
2024-01-29T07:25:00,113.01,0.868,968.912,930.496
2024-01-29T07:30:00,63.846,0.847,1644.229,624.965
2024-01-29T07:35:00,73.831,0.866,1429.132,732.505
2024-01-29T07:40:00,62.704,0.948,1000.887,546.619
2024-01-29T07:45:00,56.885,0.948,2850.13,499.428
2024-01-29T07:50:00,45.828,1.0,583.619,394.903
2024-01-29T07:55:00,50.912,0.957,1031.258,387.955
2024-01-29T08:00:00,44.872,1.005,420.444,332.378
2024-01-29T08:05:00,43.982,0.795,1153.948,272.563
2024-01-29T08:10:00,99.366,0.916,902.623,1575.467
