timestamp,rmssd,coverage,low_frequency,high_frequency
2024-01-18T00:00:00,32.597,0.967,1585.148,319.558
2024-01-18T00:05:00,45.815,0.915,1946.577,365.682
2024-01-18T00:10:00,59.357,1.003,1559.603,665.477
2024-01-18T00:15:00,59.918,0.939,1084.324,642.465
2024-01-18T00:20:00,76.751,0.995,1484.635,808.627
2024-01-18T00:25:00,64.615,0.988,995.565,807.843
2024-01-18T00:30:00,47.085,1.0,351.43,336.104
2024-01-18T00:35:00,50.944,0.992,2266.963,446.796
2024-01-18T00:40:00,55.307,0.956,1871.053,393.424
2024-01-18T00:45:00,50.438,0.999,621.069,358.457
2024-01-18T00:50:00,47.912,0.982,725.892,398.421
2024-01-18T00:55:00,71.459,0.938,2945.344,904.433
2024-01-18T01:00:00,55.977,0.994,1299.048,646.384
2024-01-18T01:05:00,54.314,0.996,923.606,676.624
2024-01-18T01:10:00,53.851,0.968,903.995,514.535
2024-01-18T01:15:00,72.397,0.981,1607.425,1119.041
2024-01-18T01:20:00,33.638,1.008,153.943,153.221
2024-01-18T01:25:00,40.577,1.004,317.092,187.691
2024-01-18T01:30:00,45.421,0.984,906.192,342.599
2024-01-18T01:35:00,54.705,0.964,1118.72,691.788
2024-01-18T01:40:00,47.773,1.004,443.146,263.922
2024-01-18T01:45:00,51.68,0.986,949.62,361.74
2024-01-18T01:50:00,54.141,0.937,842.541,618.695
2024-01-18T01:55:00,89.185,0.983,488.035,593.376
2024-01-18T02:00:00,52.813,1.0,1056.291,568.097
2024-01-18T02:05:00,55.42,0.938,1002.499,421.206
2024-01-18T02:10:00,64.534,1.004,1512.989,585.052
2024-01-18T02:15:00,54.484,0.945,1074.166,582.462
2024-01-18T02:20:00,56.195,1.005,632.5,537.998
2024-01-18T02:25:00,50.287,0.988,544.143,433.785
2024-01-18T02:30:00,59.23,0.99,1171.892,549.416
2024-01-18T02:35:00,62.524,0.91,1632.361,770.017
2024-01-18T02:40:00,61.325,0.963,2114.872,498.382
2024-01-18T02:45:00,73.308,0.973,3717.892,885.407
2024-01-18T02:50:00,59.714,0.986,1536.798,572.542
2024-01-18T02:55:00,67.555,0.907,2985.861,682.109
2024-01-18T03:00:00,85.532,0.929,6960.746,1570.157
2024-01-18T03:05:00,84.145,0.96,5455.778,982.016
2024-01-18T03:10:00,77.183,0.942,2360.254,958.705
2024-01-18T03:15:00,93.753,0.832,3926.81,1413.292
2024-01-18T03:20:00,69.71,0.944,1490.841,687.836
2024-01-18T03:25:00,49.638,0.978,468.677,291.758
2024-01-18T03:30:00,35.38,0.999,329.477,193.226
2024-01-18T03:35:00,37.585,0.888,530.168,223.103
2024-01-18T03:40:00,44.671,0.997,678.343,338.159
2024-01-18T03:45:00,50.522,0.935,991.252,389.887
2024-01-18T03:50:00,54.942,0.94,1578.281,535.668
2024-01-18T03:55:00,53.135,0.951,2906.647,507.733
2024-01-18T04:00:00,58.953,0.938,1743.247,600.829
2024-01-18T04:05:00,62.526,0.963,3008.179,668.256
2024-01-18T04:10:00,53.898,0.951,1547.126,595.866
2024-01-18T04:15:00,55.715,0.96,1591.79,501.732
2024-01-18T04:20:00,70.809,0.902,3529.325,868.306
2024-01-18T04:25:00,68.394,1.003,2164.524,702.66
2024-01-18T04:30:00,62.759,0.886,2441.545,572.781
2024-01-18T04:35:00,63.359,0.969,3701.67,773.992
2024-01-18T04:40:00,50.323,0.967,917.897,492.777
2024-01-18T04:45:00,40.246,1.003,791.835,325.5
2024-01-18T04:50:00,33.312,0.993,357.075,116.177
2024-01-18T04:55:00,34.806,0.947,347.448,152.036
2024-01-18T05:00:00,34.399,0.969,410.714,96.275
2024-01-18T05:05:00,36.434,0.975,1058.69,243.075
2024-01-18T05:10:00,49.921,0.936,1067.007,621.451
2024-01-18T05:15:00,53.27,1.005,1027.438,519.109
2024-01-18T05:20:00,50.048,0.989,2155.906,433.74
2024-01-18T05:25:00,46.121,0.995,448.874,334.354
2024-01-18T05:30:00,41.405,0.961,702.14,301.316
2024-01-18T05:35:00,59.011,0.964,5335.157,655.312
2024-01-18T05:40:00,48.079,0.969,683.462,416.53
2024-01-18T05:45:00,48.98,0.964,541.486,443.54
2024-01-18T05:50:00,65.708,0.933,2768.993,837.825
2024-01-18T05:55:00,57.666,0.935,2435.012,560.277
2024-01-18T06:00:00,52.002,1.004,2958.981,407.787
2024-01-18T06:05:00,58.305,0.991,1215.073,613.675
2024-01-18T06:10:00,63.205,0.941,1757.429,604.815
2024-01-18T06:15:00,28.449,0.994,375.71,98.989
2024-01-18T06:20:00,39.367,0.907,509.724,374.347
2024-01-18T06:25:00,49.292,0.991,1135.32,415.653
2024-01-18T06:30:00,55.973,0.968,1954.088,794.492
2024-01-18T06:35:00,46.508,0.981,748.423,362.022
2024-01-18T06:40:00,45.069,0.989,1662.285,375.714
2024-01-18T06:45:00,41.337,1.006,476.692,309.127
2024-01-18T06:50:00,36.355,0.994,611.424,159.534
2024-01-18T06:55:00,35.195,0.993,1574.581,258.78
2024-01-18T07:00:00,36.698,1.004,333.676,183.067
2024-01-18T07:05:00,36.758,0.99,724.513,172.102
2024-01-18T07:10:00,29.045,0.813,300.238,75.324
2024-01-18T23:10:00,42.177,0.894,601.419,156.245
2024-01-18T23:15:00,39.41,0.882,396.533,211.568
2024-01-18T23:20:00,43.305,0.72,505.147,272.784
2024-01-18T23:25:00,36.483,1.003,1190.906,213.357
2024-01-18T23:30:00,36.408,0.78,617.643,162.779
2024-01-18T23:35:00,31.138,0.811,1624.235,186.021
2024-01-18T23:40:00,37.181,0.928,1624.592,278.433
2024-01-18T23:45:00,42.044,0.886,489.722,267.663
2024-01-18T23:50:00,40.676,0.917,1172.657,264.947
2024-01-18T23:55:00,41.109,0.94,458.365,313.104
