timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2024-02-01T07:50:30,18.8,1.9,12.181,18.6,0.5,3.629,18.8,1.9,12.181,10.6,2.1,3.612
2024-02-02T09:08:30,18.2,1.1,9.147,18.2,1.1,9.147,17.8,1.2,6.805,-1.0,0.0,1.905
2024-02-03T08:20:00,18.0,1.2,8.579,18.0,1.2,8.579,17.2,2.1,9.781,16.6,1.8,3.781
2024-02-04T08:35:00,18.0,1.2,6.027,18.0,1.2,6.027,18.6,1.4,7.688,-1.0,0.0,1.877
2024-02-05T07:50:00,19.2,1.3,9.568,19.2,1.3,9.568,18.4,1.3,10.092,-1.0,0.0,1.859
2024-02-06T07:47:30,18.2,0.8,5.777,18.2,0.8,5.777,18.4,1.4,9.175,-1.0,0.0,1.788
2024-02-07T08:35:30,18.2,1.5,7.602,18.2,1.5,7.602,18.6,1.6,10.752,28.0,0.5,3.569
2024-02-08T08:14:30,18.2,1.2,10.796,18.6,1.3,3.729,18.2,1.2,10.796,-1.0,0.0,2.426
2024-02-09T08:22:00,18.6,0.9,6.186,18.6,0.9,6.186,18.4,1.4,7.793,11.6,0.7,3.52
2024-02-10T08:02:30,18.8,1.4,6.785,18.8,1.4,6.785,18.6,1.5,9.429,-1.0,0.0,2.413
2024-02-11T08:13:00,19.4,1.2,6.838,19.4,1.2,6.838,18.6,1.8,8.813,16.4,1.8,4.301
2024-02-12T08:34:00,19.0,0.9,7.409,19.0,0.9,7.409,18.8,2.0,11.526,-1.0,0.0,2.086
2024-02-13T07:22:30,19.2,0.8,4.076,19.2,0.8,4.076,18.8,1.5,11.18,11.6,0.8,2.524
2024-02-14T07:43:00,20.2,0.8,6.866,20.2,0.8,6.866,19.2,1.9,9.155,-1.0,0.0,1.654
2024-02-15T09:35:30,19.4,1.0,12.019,19.4,1.0,12.019,19.2,1.6,12.932,-1.0,0.0,1.221
2024-02-16T08:40:00,19.0,1.1,9.631,-1.0,0.0,2.19,19.0,1.1,9.631,-1.0,0.0,1.555
2024-02-17T09:00:00,18.6,1.2,6.903,18.6,1.2,6.903,19.0,1.6,11.924,-1.0,0.0,1.656
2024-02-18T09:17:00,19.2,1.7,8.297,-1.0,0.0,2.048,19.2,1.7,8.297,9.6,0.6,2.981
2024-02-19T08:12:30,19.4,1.5,8.264,19.4,1.5,8.264,19.8,1.2,12.543,18.2,0.8,3.139
2024-02-20T07:34:30,19.4,1.4,8.609,19.4,1.4,8.609,19.2,1.4,12.622,9.8,1.2,2.978
