timestamp,rmssd,coverage,low_frequency,high_frequency
2024-02-14T00:15:00,60.857,0.763,6884.092,1190.657
2024-02-14T00:30:00,45.716,0.729,904.654,225.847
2024-02-14T00:35:00,32.849,0.789,613.911,178.878
2024-02-14T00:40:00,35.89,0.986,1748.696,228.696
2024-02-14T00:45:00,27.364,0.865,335.987,93.723
2024-02-14T00:50:00,39.603,0.763,479.401,262.356
2024-02-14T00:55:00,33.764,0.897,1015.764,279.93
2024-02-14T01:00:00,32.355,0.843,395.818,156.279
2024-02-14T01:05:00,30.898,0.745,301.694,80.002
2024-02-14T01:10:00,31.192,0.832,497.384,160.16
2024-02-14T01:20:00,38.161,0.763,746.053,159.665
2024-02-14T01:25:00,44.669,0.918,2316.138,402.811
2024-02-14T01:30:00,42.999,0.955,767.112,318.643
2024-02-14T01:35:00,42.867,0.961,641.875,324.262
2024-02-14T01:40:00,37.966,0.973,1370.76,197.676
2024-02-14T01:45:00,35.315,0.947,979.054,218.802
2024-02-14T01:50:00,48.456,0.996,1320.603,431.137
2024-02-14T01:55:00,40.551,0.918,2085.52,273.479
2024-02-14T02:00:00,37.332,0.995,819.286,250.205
2024-02-14T02:05:00,40.677,0.942,2330.446,308.586
2024-02-14T02:10:00,36.83,0.711,565.533,120.684
2024-02-14T02:15:00,44.361,0.97,752.769,350.503
2024-02-14T02:20:00,41.675,0.83,1085.224,333.622
2024-02-14T02:25:00,39.906,0.858,820.554,222.415
2024-02-14T02:30:00,38.723,0.898,786.848,211.903
2024-02-14T02:35:00,35.257,0.774,947.457,267.787
2024-02-14T02:40:00,34.802,0.864,636.164,227.804
2024-02-14T02:45:00,33.618,0.833,560.252,155.384
2024-02-14T02:50:00,39.742,0.765,2094.288,225.208
2024-02-14T02:55:00,41.465,0.863,559.63,239.689
2024-02-14T03:00:00,36.007,0.765,2135.058,265.177
2024-02-14T03:05:00,45.896,0.764,743.752,156.674
2024-02-14T03:10:00,40.023,0.992,1692.532,288.424
2024-02-14T03:15:00,36.109,0.948,1069.891,164.069
2024-02-14T03:20:00,43.23,0.99,1358.076,450.001
2024-02-14T03:25:00,51.955,1.004,1055.696,499.989
2024-02-14T03:30:00,49.821,1.001,1287.713,445.004
2024-02-14T03:35:00,47.482,1.005,743.65,356.838
2024-02-14T03:40:00,47.096,1.002,1017.225,523.963
2024-02-14T03:45:00,45.729,1.005,464.061,333.456
2024-02-14T03:50:00,44.945,1.002,576.377,351.875
2024-02-14T03:55:00,47.737,1.001,591.929,351.658
2024-02-14T04:00:00,58.14,0.943,10435.032,694.864
2024-02-14T04:05:00,63.683,1.005,3193.593,726.377
2024-02-14T04:10:00,56.332,0.998,3309.824,566.135
2024-02-14T04:15:00,57.262,1.003,1205.67,521.634
2024-02-14T04:20:00,65.007,0.928,2904.775,810.485
2024-02-14T04:25:00,64.611,0.992,2162.908,808.072
2024-02-14T04:30:00,45.747,0.971,357.108,253.051
2024-02-14T04:35:00,41.898,1.001,512.838,288.814
2024-02-14T04:40:00,32.462,0.989,283.331,127.576
2024-02-14T04:45:00,34.535,0.908,399.883,164.777
2024-02-14T04:50:00,58.501,0.991,936.861,476.812
2024-02-14T04:55:00,41.657,0.977,799.603,369.16
2024-02-14T05:00:00,67.501,0.983,870.121,573.728
2024-02-14T05:05:00,59.113,1.005,628.427,305.836
2024-02-14T05:10:00,70.39,0.935,1818.731,879.316
2024-02-14T05:15:00,61.384,0.954,1293.046,627.359
2024-02-14T05:20:00,59.344,0.952,758.396,414.257
2024-02-14T05:25:00,78.638,0.899,550.353,992.907
2024-02-14T05:30:00,72.884,0.997,225.165,733.977
2024-02-14T05:35:00,74.184,0.962,354.316,811.156
2024-02-14T05:40:00,52.141,1.005,315.221,438.138
2024-02-14T05:45:00,59.729,0.912,2622.903,409.108
2024-02-14T05:50:00,55.392,1.003,688.905,536.561
2024-02-14T05:55:00,53.21,0.996,557.541,430.991
2024-02-14T06:00:00,50.337,1.004,642.249,446.791
