timestamp,rmssd,coverage,low_frequency,high_frequency
2023-12-28T00:20:00,24.903,0.951,308.278,124.777
2023-12-28T00:25:00,23.862,0.965,2190.067,227.585
2023-12-28T00:30:00,20.051,1.004,405.39,97.013
2023-12-28T00:35:00,21.811,0.997,148.956,101.51
2023-12-28T00:40:00,24.952,0.948,3075.557,241.336
2023-12-28T00:45:00,28.268,1.004,172.545,182.97
2023-12-28T00:50:00,26.051,1.003,158.725,164.992
2023-12-28T01:00:00,25.677,0.847,2625.074,112.958
2023-12-28T01:05:00,21.643,0.91,850.642,116.6
2023-12-28T01:10:00,18.31,0.864,98.864,85.496
2023-12-28T01:15:00,20.214,1.004,1031.71,90.43
2023-12-28T01:20:00,23.358,0.98,1649.126,178.129
2023-12-28T01:25:00,24.183,1.001,765.436,145.716
2023-12-28T01:30:00,23.01,1.003,355.365,131.723
2023-12-28T01:35:00,23.579,1.003,1930.747,136.412
2023-12-28T01:40:00,19.323,0.928,446.558,47.133
2023-12-28T01:45:00,48.741,0.946,1014.213,505.57
2023-12-28T01:50:00,32.636,0.989,485.194,263.495
2023-12-28T01:55:00,55.709,0.961,263.587,522.738
2023-12-28T02:00:00,50.545,1.003,229.337,424.277
2023-12-28T02:05:00,53.343,1.004,368.118,447.838
2023-12-28T02:10:00,53.039,1.001,159.312,519.548
2023-12-28T02:15:00,57.949,1.002,179.722,540.874
2023-12-28T02:20:00,56.624,1.003,244.995,532.039
2023-12-28T02:25:00,59.043,1.003,125.649,492.691
2023-12-28T02:30:00,53.482,1.003,305.657,535.293
2023-12-28T02:35:00,58.18,1.005,114.963,477.752
2023-12-28T02:40:00,56.703,1.002,289.395,578.347
2023-12-28T02:45:00,57.14,1.004,83.806,611.765
2023-12-28T02:50:00,55.854,1.001,211.609,494.832
2023-12-28T02:55:00,55.159,0.91,400.295,505.946
2023-12-28T03:00:00,39.736,1.003,2860.192,332.949
2023-12-28T03:05:00,20.626,1.003,509.791,87.818
2023-12-28T03:10:00,62.115,1.002,302.331,423.253
2023-12-28T03:15:00,40.826,0.931,735.219,227.328
2023-12-28T03:20:00,64.982,0.994,275.124,743.539
2023-12-28T03:25:00,69.641,0.92,744.102,547.756
2023-12-28T03:30:00,64.113,1.004,386.971,710.821
2023-12-28T03:35:00,65.049,1.003,151.138,822.572
2023-12-28T03:40:00,63.297,1.002,279.742,700.661
2023-12-28T03:45:00,66.224,0.949,274.885,613.746
2023-12-28T03:50:00,62.481,1.003,271.754,797.116
2023-12-28T03:55:00,73.405,0.746,1404.091,387.304
2023-12-28T04:00:00,59.947,0.986,1306.441,644.18
2023-12-28T04:05:00,64.74,0.88,1284.525,724.882
2023-12-28T04:10:00,41.015,0.988,2760.806,196.525
2023-12-28T04:15:00,17.962,1.004,333.397,45.35
2023-12-28T04:20:00,77.295,0.986,1629.324,534.543
2023-12-28T04:25:00,76.364,0.926,1421.366,575.452
2023-12-28T04:30:00,85.457,0.998,876.232,523.045
2023-12-28T04:35:00,64.855,1.001,475.578,493.191
2023-12-28T04:40:00,79.868,1.005,544.553,395.77
2023-12-28T04:45:00,71.958,1.001,363.222,428.506
2023-12-28T04:50:00,69.094,1.003,703.881,462.375
2023-12-28T04:55:00,60.292,1.003,391.094,580.992
2023-12-28T05:00:00,60.776,1.002,239.384,461.313
2023-12-28T05:05:00,62.372,0.932,2544.365,544.174
2023-12-28T05:10:00,72.731,0.93,1464.768,754.423
2023-12-28T05:15:00,58.407,1.005,311.609,510.026
2023-12-28T05:20:00,26.614,1.002,310.786,134.343
2023-12-28T05:25:00,28.091,1.005,227.98,176.557
2023-12-28T05:30:00,24.124,0.944,292.562,103.268
2023-12-28T05:35:00,40.415,0.953,1304.856,307.337
2023-12-28T05:40:00,34.8,0.975,238.341,264.676
2023-12-28T05:45:00,38.131,0.943,483.271,257.038
2023-12-28T05:50:00,38.935,1.003,2735.009,419.63
2023-12-28T05:55:00,60.112,1.003,429.342,490.703
2023-12-28T06:00:00,68.597,0.96,409.144,532.277
2023-12-28T06:05:00,69.274,0.935,330.662,457.881
2023-12-28T06:10:00,55.884,1.002,355.759,406.374
2023-12-28T06:15:00,53.578,0.968,353.339,394.497
2023-12-28T06:20:00,51.81,1.003,607.367,455.398
2023-12-28T06:25:00,59.322,0.994,651.247,431.64
2023-12-28T06:30:00,58.793,0.955,318.575,319.912
2023-12-28T06:35:00,48.595,0.997,514.368,295.048
2023-12-28T06:40:00,24.093,0.996,621.46,129.209
2023-12-28T06:45:00,24.892,1.001,461.711,115.257
2023-12-28T07:05:00,41.674,1.003,403.753,346.963
2023-12-28T07:10:00,38.845,0.995,203.794,316.82
2023-12-28T07:15:00,40.77,1.003,320.198,429.301
2023-12-28T07:20:00,44.095,0.949,387.289,397.631
2023-12-28T07:25:00,44.459,0.955,4712.923,521.045
2023-12-28T07:45:00,59.843,1.002,892.043,368.654
2023-12-28T07:50:00,55.805,1.005,1432.172,428.303
2023-12-28T07:55:00,27.142,0.882,586.997,166.133
2023-12-28T08:00:00,29.39,1.0,877.849,249.074
2023-12-28T08:05:00,30.316,1.002,531.626,151.537
2023-12-28T08:10:00,24.049,1.004,279.741,84.352
2023-12-28T08:15:00,22.318,0.998,561.227,104.758
2023-12-28T08:20:00,29.309,0.907,926.703,223.378
2023-12-28T08:25:00,75.01,0.984,635.496,702.949
2023-12-28T08:30:00,68.751,0.98,1786.118,600.482
2023-12-28T08:35:00,59.245,0.939,519.165,606.879
2023-12-28T08:40:00,46.681,0.872,1239.649,472.603
